,year_month,FarmName,buffers_ph,byproducts,compound_feed_calf_replacements,electrolytes,energy_source,fat_oils,feed_additives_probiotics,forage_bulk,medications,metabolic_support,minerals_vitamins,preventive_supplements,protein_source,wet_ingredients_water,dist_to_center_euclid,dist_to_center_manhattan,pca1,pca2,pca_drift,cluster_kmeans,cluster_hdbscan,cluster_dbscan
0,2022-01,ЖК Добрино,0.008009858287122612,0.0,2.470060092534937,0.0,3.121012862139952,0.09960728879439221,0.8377175297929595,20.661439170598154,0.0,0.0,0.03445075735423124,0.1397669208407531,2.8393047695116387,3.132076989504451,19.68196378647044,48.79886919777789,1.8190200247606452,0.12011086817775547,,8,-1,-1
1,2022-01,ЖК Коршево,0.0,0.0,2.8571106645873323,0.0,3.508719700771595,0.12097519026925112,0.0,17.38880229898454,0.0,0.0,0.04175961045617632,0.13571553049718094,3.622690858925144,10.007422549784069,17.00051462143259,45.80068700924765,-0.4597232236527835,0.35175044907088626,,2,11,-1
2,2022-02,ЖК Бодеевка,0.029581061350972854,0.023642408570373107,2.649041905691166,0.0,3.6341508229761508,0.08724677722252284,1.1439466233390174,17.332554497354497,0.0,0.0,0.15996554349895298,0.15251572429525828,2.947766107649476,5.156975938669007,15.590921390557822,45.538053905355454,3.28046882702534,0.23550098941164546,,8,-1,-1
3,2022-02,ЖК Добрино,0.037672195670508855,0.0,2.5350236617794195,0.0,3.010236842626327,0.10711755432355029,0.8416400539151151,20.56593736909029,0.0,0.0,0.06641992882562278,0.153587152487712,3.0189555899312275,3.151257864178486,20.237687331543313,51.67979062440362,2.167044637146174,0.1865105971086394,0.35430220833095627,8,-1,-1
4,2022-02,ЖК Коршево,0.0,0.0,2.8199248573698275,0.0,3.29631990061413,0.14639732067786476,0.0,19.73415868268709,0.0,0.0,0.037294857462269425,0.12120765790944661,3.5158518180833394,7.839707280453259,17.022396621446813,45.65298980606473,-0.3897539872488706,0.22886969408375366,0.14140499987325186,2,11,-1
5,2022-03,ЖК Бобров,0.0,0.0,2.6219373702828648,0.0,3.902021055024519,0.11854485614646905,0.0,23.59568946815766,0.0,0.0,0.06591367604267702,0.17414736874825154,3.159801725537742,5.873373103522634,17.068238897323344,45.99579038309057,0.00460988078256021,0.2121647612720828,,1,11,-1
6,2022-03,ЖК Бобров 2,0.0,0.0,2.8407057516127283,0.0,4.84385231522903,0.10791611626409786,0.0,21.15794865365957,0.0,0.0,0.06016066884769175,0.132424816792945,2.5295326011880093,8.124951156031754,17.020591564507576,45.898759006232325,-0.36443037723627797,-0.0012671323657952455,,2,11,-1
7,2022-03,ЖК Бодеевка,0.02505739413819848,0.04110497237569061,2.409495328649987,0.0,3.8179389625310254,0.06523276804863153,1.0775288611012628,17.443984730564527,0.0,0.0,0.14399455829002844,0.13766475724429092,2.6568430913604697,2.584542022792023,15.314228873652647,44.868796113666505,2.8246258910706556,0.07783088078056458,0.48234079800025564,8,-1,-1
8,2022-03,ЖК Верхний Икорец,0.0,0.0,2.8872101591425787,0.0,4.8981885771116005,0.09319591138120698,0.0,23.750196042561136,0.0,0.0,0.038507591836734696,0.11510399999999998,3.6428320233842157,8.559021512231283,16.860773348404347,45.79976500094245,-0.2138348950618159,0.5890186435056645,,2,11,-1
9,2022-03,ЖК Высокое,0.07713631419247724,0.04355608591885442,2.5365335812674603,0.0,5.261515328150033,0.10895548434745318,0.0,24.288650262050005,0.0,0.0,0.13172254631707161,0.1082530042705333,4.565625442077698,7.01318754016455,13.920505280177277,37.040967317414285,0.7772562948334241,0.8373847822117589,,2,32,8
